open_time,BTCUSDT,ETHUSDT,XRPUSDT
2018-12-31 00:00:00,3797.1,137.12,0.36524
2018-12-31 00:30:00,3795.38,136.56,0.3633
2018-12-31 01:00:00,3764.41,134.51,0.3603
2018-12-31 01:30:00,3762.94,134.96,0.36007
2018-12-31 02:00:00,3757.01,134.84,0.35979
2018-12-31 02:30:00,3727.93,132.53,0.35569
2018-12-31 03:00:00,3742.31,133.55,0.3563
2018-12-31 03:30:00,3744.58,133.6,0.35497
2018-12-31 04:00:00,3745.98,133.78,0.35553
2018-12-31 04:30:00,3753.72,134.22,0.35563
2018-12-31 05:00:00,3745.35,133.65,0.35499
2018-12-31 05:30:00,3747.45,133.96,0.35591
2018-12-31 06:00:00,3747.57,134.21,0.35584
2018-12-31 06:30:00,3757.45,134.78,0.35815
2018-12-31 07:00:00,3756.32,134.36,0.35668
2018-12-31 07:30:00,3754.45,134.34,0.35665
2018-12-31 08:00:00,3753.4,134.27,0.35566
2018-12-31 08:30:00,3752.21,134.11,0.35528
2018-12-31 09:00:00,3752.64,133.93,0.35359
2018-12-31 09:30:00,3775.59,134.71,0.35569
2018-12-31 10:00:00,3775.88,134.71,0.35594
2018-12-31 10:30:00,3771.5,134.7,0.35608
2018-12-31 11:00:00,3726.64,133.88,0.35099
2018-12-31 11:30:00,3725.42,133.97,0.35013
2018-12-31 12:00:00,3719.98,133.93,0.34933
2018-12-31 12:30:00,3731.58,134.55,0.35277
2018-12-31 13:00:00,3735.99,134.92,0.35178
2018-12-31 13:30:00,3732.23,134.64,0.35055
2018-12-31 14:00:00,3730.45,134.25,0.34969
2018-12-31 14:30:00,3769.57,136.1,0.35355
2018-12-31 15:00:00,3754.31,135.3,0.3554
2018-12-31 15:30:00,3752.46,135.33,0.3538
2018-12-31 16:00:00,3741.95,134.78,0.35444
2018-12-31 16:30:00,3736.17,134.4,0.35295
2018-12-31 17:00:00,3732.62,134.66,0.35254
2018-12-31 17:30:00,3736.31,134.92,0.3526
2018-12-31 18:00:00,3740.13,134.65,0.35259
2018-12-31 18:30:00,3741.52,134.72,0.35239
2018-12-31 19:00:00,3732.49,134.41,0.35177
2018-12-31 19:30:00,3687.47,131.03,0.34937
2018-12-31 20:00:00,3672.81,131.02,0.34734
2018-12-31 20:30:00,3672.0,130.71,0.34717
2018-12-31 21:00:00,3673.07,130.58,0.34672
2018-12-31 21:30:00,3671.72,130.21,0.34589
2018-12-31 22:00:00,3671.78,130.22,0.34606
2018-12-31 22:30:00,3686.43,131.13,0.34858
2018-12-31 23:00:00,3698.09,131.47,0.34913
2018-12-31 23:30:00,3702.9,131.45,0.34849
2019-01-01 00:00:00,3694.2,131.29,0.34732
2019-01-01 00:30:00,3700.31,131.82,0.34917
2019-01-01 01:00:00,3699.25,131.51,0.34859
2019-01-01 01:30:00,3689.69,131.14,0.34808
2019-01-01 02:00:00,3686.64,130.68,0.3465
2019-01-01 02:30:00,3690.0,130.72,0.3464
2019-01-01 03:00:00,3696.61,131.32,0.34884
2019-01-01 03:30:00,3693.13,131.32,0.34874
2019-01-01 04:00:00,3696.52,133.02,0.35141
2019-01-01 04:30:00,3692.71,132.35,0.35053
2019-01-01 05:00:00,3700.05,132.69,0.35159
