open_time,BTCUSDT,ETHUSDT,XRPUSDT
2018-12-31 00:00:00,502.874087,14093.36184,3318099.0
2018-12-31 00:30:00,388.574991,8723.73722,2886717.1
2018-12-31 01:00:00,811.537161,22864.56811,2504756.2
2018-12-31 01:30:00,705.434542,14053.85881,1723744.6
2018-12-31 02:00:00,567.047392,9234.33846,804527.7
2018-12-31 02:30:00,1866.773314,21653.51379,2283666.6
2018-12-31 03:00:00,1013.008608,19281.64338,2526435.4
2018-12-31 03:30:00,529.531519,12630.27382,1768558.9
2018-12-31 04:00:00,494.021248,6432.38886,1462316.4
2018-12-31 04:30:00,427.669234,5861.17909,1062355.6
2018-12-31 05:00:00,320.579272,4374.51099,2290964.4
2018-12-31 05:30:00,343.458848,6560.19431,970455.1
2018-12-31 06:00:00,297.123404,5602.38353,621211.7
2018-12-31 06:30:00,295.144411,3576.38881,528530.8
2018-12-31 07:00:00,285.481807,4895.71289,529744.9
2018-12-31 07:30:00,318.434394,3294.67115,359452.2
2018-12-31 08:00:00,449.420744,4161.33189,775546.5
2018-12-31 08:30:00,378.524381,2859.33363,450975.0
2018-12-31 09:00:00,376.763069,3491.04082,1107577.7
2018-12-31 09:30:00,964.693843,10881.87141,1673213.9
2018-12-31 10:00:00,531.352058,5953.75532,673715.4
2018-12-31 10:30:00,364.552249,4473.8336,778667.0
2018-12-31 11:00:00,1997.661312,23959.01742,4533581.0
2018-12-31 11:30:00,715.765907,11418.55621,1780782.3
2018-12-31 12:00:00,515.089077,8425.34748,1955071.1
2018-12-31 12:30:00,483.953338,6335.41921,2040383.5
2018-12-31 13:00:00,454.521541,11320.49974,893460.4
2018-12-31 13:30:00,316.220228,7450.62323,1190915.4
2018-12-31 14:00:00,282.560185,4856.03451,1470439.5
2018-12-31 14:30:00,735.885072,18317.35257,2757511.9
2018-12-31 15:00:00,1261.225645,19267.85485,2219962.9
2018-12-31 15:30:00,420.597818,6118.78052,1003775.3
2018-12-31 16:00:00,690.523185,17034.79578,1720915.9
2018-12-31 16:30:00,527.868341,8132.74155,955288.4
2018-12-31 17:00:00,560.451718,6547.42875,1158292.9
2018-12-31 17:30:00,363.017371,4991.23016,633001.8
2018-12-31 18:00:00,310.26115,2721.67451,473864.5
2018-12-31 18:30:00,322.044286,2955.09329,572280.0
2018-12-31 19:00:00,350.559892,3370.4468,619989.3
2018-12-31 19:30:00,3054.887339,49405.66403,4345254.8
2018-12-31 20:00:00,1099.946359,22366.21025,2408698.2
2018-12-31 20:30:00,686.583837,11522.68476,1877962.1
2018-12-31 21:00:00,350.855299,5810.39678,717123.6
2018-12-31 21:30:00,392.403131,5724.62335,828273.0
2018-12-31 22:00:00,411.617602,8449.51558,1007327.4
2018-12-31 22:30:00,358.93306,7471.22185,754073.7
2018-12-31 23:00:00,510.211152,9308.91797,758551.6
2018-12-31 23:30:00,586.133929,6368.81674,530041.5
2019-01-01 00:00:00,322.716816,5346.36699,474362.4
2019-01-01 00:30:00,363.650604,7331.59477,749782.6
2019-01-01 01:00:00,275.191465,4538.4172,390454.7
2019-01-01 01:30:00,338.34765,5003.42845,351781.1
2019-01-01 02:00:00,519.488423,6475.65603,613414.8
2019-01-01 02:30:00,375.813758,5563.38533,759627.4
2019-01-01 03:00:00,398.699816,3736.26785,606536.8
2019-01-01 03:30:00,398.015002,2584.03958,584046.5
2019-01-01 04:00:00,746.38735,20435.75805,1569622.1
2019-01-01 04:30:00,571.065559,8778.8839,757574.3
2019-01-01 05:00:00,348.526736,4967.77613,497778.1
2019-01-01 05:30:00,223.875492,1770.88164,556656.1
2019-01-01 06:00:00,383.309552,3040.74376,533036.7
2019-01-01 06:30:00,276.970219,3163.54025,459834.4
2019-01-01 07:00:00,513.782725,6310.03343,576070.1
2019-01-01 07:30:00,309.842766,3904.91755,440695.9
2019-01-01 08:00:00,434.82573,7451.33898,1156687.7
2019-01-01 08:30:00,452.275632,8890.86766,1154184.7
2019-01-01 09:00:00,387.920086,7933.78817,873088.1
2019-01-01 09:30:00,567.958948,6961.56893,678055.7
2019-01-01 10:00:00,266.028902,3603.51505,337640.5
2019-01-01 10:30:00,268.085043,2784.58686,435897.3
2019-01-01 11:00:00,305.445095,3670.75287,363543.8
2019-01-01 11:30:00,295.219547,2980.60214,358124.0
2019-01-01 12:00:00,303.718273,7331.54558,392365.3
2019-01-01 12:30:00,350.559437,4087.1431,525142.3
2019-01-01 13:00:00,274.702517,3949.70505,286649.7
2019-01-01 13:30:00,667.083178,8684.67671,1281939.8
2019-01-01 14:00:00,785.186007,9566.33492,968904.4
2019-01-01 14:30:00,342.180625,3778.02826,600322.4
2019-01-01 15:00:00,705.114255,11292.54779,1443716.5
2019-01-01 15:30:00,291.574277,4431.20026,656553.5
2019-01-01 16:00:00,325.424349,3631.7909,512591.8
2019-01-01 16:30:00,303.755931,1915.78851,482517.3
2019-01-01 17:00:00,199.012683,1912.7672,475471.1
2019-01-01 17:30:00,181.202804,3359.18035,504411.7
2019-01-01 18:00:00,298.712868,6669.93523,742759.2
2019-01-01 18:30:00,784.494228,8119.68186,853908.0
2019-01-01 19:00:00,621.289803,7750.85161,431220.8
2019-01-01 19:30:00,534.223309,17802.60106,1053557.3
2019-01-01 20:00:00,1141.881063,51543.49709,2667072.9
2019-01-01 20:30:00,879.289885,15512.3625,2238710.5
2019-01-01 21:00:00,648.634325,19637.29061,1710573.9
2019-01-01 21:30:00,456.86741,10090.52871,1573558.7
2019-01-01 22:00:00,358.375388,11103.23728,696973.6
2019-01-01 22:30:00,266.244748,7482.19908,775248.2
2019-01-01 23:00:00,2454.743649,26388.208,2659987.1
2019-01-01 23:30:00,1223.973105,18507.07474,2248745.8
2019-01-02 00:00:00,1344.758557,19139.11157,2877381.1
2019-01-02 00:30:00,749.266602,14727.8671,1123052.0
2019-01-02 01:00:00,491.389372,9461.46694,795153.8
2019-01-02 01:30:00,421.421741,6833.89006,635020.9
2019-01-02 02:00:00,397.149067,6084.80278,617261.8
2019-01-02 02:30:00,322.15369,5960.12043,332623.3
2019-01-02 03:00:00,514.16137,6671.09116,527633.6
2019-01-02 03:30:00,256.206697,4235.34638,403093.6
2019-01-02 04:00:00,437.105206,4830.05757,540925.0
2019-01-02 04:30:00,311.155003,5304.80879,283979.6
2019-01-02 05:00:00,201.947246,2769.51818,358391.3
2019-01-02 05:30:00,213.902267,3839.60051,334016.3
2019-01-02 06:00:00,331.239661,3540.37667,326439.5
2019-01-02 06:30:00,585.746397,10328.15625,1060772.6
2019-01-02 07:00:00,747.085568,35565.298,1741417.7
2019-01-02 07:30:00,591.709172,28704.65792,1202569.7
2019-01-02 08:00:00,1627.172551,94337.07422,3717683.5
2019-01-02 08:30:00,589.406674,21336.27548,1037535.4
2019-01-02 09:00:00,656.673107,19239.55231,792456.4
2019-01-02 09:30:00,826.95474,18632.49578,729608.5
2019-01-02 10:00:00,472.71249,13738.98105,531243.7
2019-01-02 10:30:00,644.424103,48413.27338,1686356.7
2019-01-02 11:00:00,814.355164,35114.4561,2182072.5
2019-01-02 11:30:00,581.586491,19569.63226,2046322.2
2019-01-02 12:00:00,673.056821,15759.69144,1157707.4
2019-01-02 12:30:00,506.709337,18029.52054,614221.0
2019-01-02 13:00:00,1187.807459,34845.93246,1489270.7
2019-01-02 13:30:00,1402.060972,34293.5624,2804560.3
2019-01-02 14:00:00,1398.235165,39806.1348,1850776.2
2019-01-02 14:30:00,927.418928,19828.4283,1304773.4
2019-01-02 15:00:00,629.113656,18206.99095,1102140.7
2019-01-02 15:30:00,730.467671,27509.84846,1339208.0
2019-01-02 16:00:00,759.023438,20906.18623,1432896.6
2019-01-02 16:30:00,1937.16387,31450.29041,4996469.3
2019-01-02 17:00:00,935.966744,22530.6443,3203860.6
2019-01-02 17:30:00,1230.361817,16365.26746,1836054.8
2019-01-02 18:00:00,793.937396,12558.05429,1156074.3
2019-01-02 18:30:00,409.652913,7223.6274,4546611.5
2019-01-02 19:00:00,502.689689,7358.05254,2428718.1
2019-01-02 19:30:00,418.786305,15671.46375,1730975.2
2019-01-02 20:00:00,414.139135,11113.90968,945446.4
2019-01-02 20:30:00,775.288471,16926.48053,1205383.4
2019-01-02 21:00:00,596.923141,11620.79005,1081251.5
2019-01-02 21:30:00,1173.867498,38042.56334,2000486.4
