,Binance Official,Backtest,Bitcoin,tracking_error
2023-04-12,0.0,0.0,0.0,0.0
2023-04-13,,0.001612033026569648,0.03086175690014903,
2023-04-14,,0.013428996890592515,-0.015383718100062005,
2023-04-15,3.924007951905395e-06,0.0033150684227711835,-0.006260014030752936,-0.003311144414819278
2023-04-16,-7.648668564985694e-05,0.003288067974308806,-0.013218130895993774,-0.003364554659958663
2023-04-17,-0.0004097772436910674,0.0012109095632153455,-0.02680536841122194,-0.0016206868069064129
2023-04-18,0.0002880457621181609,0.007443086275787714,0.03892909294664881,-0.007155040513669553
2023-04-19,-0.000935066070568813,-0.005906800758985309,-0.06696450293483602,0.004971734688416496
2023-04-20,0.000343630788787852,0.012112784733553816,-0.028120735168218003,-0.011769153944765964
2023-04-21,0.001470463978633596,-0.04982469125785549,-0.05292478272628931,0.05129515523648909
2023-04-22,-1.7738611423068207e-05,0.003945718618030281,0.012938952461645448,-0.003963457229453349
2023-04-23,0.0030817128346489753,-0.004370519524705241,0.012663914393841402,0.007452232359354216
2023-04-24,0.00264926180507441,0.009911115143751648,-0.024007133375482326,-0.007261853338677238
2023-04-25,0.010405231373200596,0.024739664572597686,0.0528444863929296,-0.01433443319939709
2023-04-26,0.021475656866810633,-0.0654314572153587,0.030556792888785766,0.08690711408216933
2023-04-27,-0.0028042191713643083,-0.0007985272537149868,0.02776833445383775,-0.0020056919176493215
2023-04-28,-0.0025716002585594033,0.01188201065583705,-0.0038121352035935807,-0.014453610914396453
2023-04-29,0.003322265326349161,0.008418672776914438,-0.008529514495284829,-0.005096407450565277
2023-04-30,-0.008244921084576196,-0.017945281884620634,-0.031759786530531464,0.009700360800044439
2023-05-01,0.017265640596533238,-0.0024534782268545996,-0.027169150175396783,0.019719118823387838
2023-05-02,-0.0028536008829013193,0.012407413186183547,0.02552119456206592,-0.015261014069084866
2023-05-03,0.028788432694256016,0.01668177168182927,0.015145740543160091,0.012106661012426745
2023-05-04,-0.0004478809108390269,-0.007622832662093515,0.005225823413874009,0.007174951751254488
2023-05-05,2.9438311788254623e-09,-0.002595320241391086,0.0079833633694113,0.0025953231852222647
2023-05-06,-0.019147369400946856,-0.0029489479232669424,-0.028363622612814998,-0.016198421477679914
2023-05-07,-0.010235280338834363,-0.005588191332317027,-0.031191652918878265,-0.004647089006517335
2023-05-08,0.008913852137951928,0.009924449308675865,-0.030339131026832167,-0.001010597170723937
2023-05-09,-0.0009937080514885732,-0.006415325872667577,0.003036987840828509,0.005421617821179003
2023-05-10,0.007022313732204077,0.008922547918787771,-0.012916064812758643,-0.0019002341865836936
2023-05-11,0.010050569015197075,0.016359644972370635,-0.04714029635405037,-0.00630907595717356
2023-05-12,0.025719443631053496,0.026307140493226466,0.012635639115223585,-0.0005876968621729706
2023-05-13,6.900426650569003e-05,0.0009105986637738539,0.0031764451790439185,-0.0008415943972681639
2023-05-14,-0.0004566365107514514,-0.001331210743119815,0.020533749437931403,0.0008745742323683636
2023-05-15,-0.0008199711095386863,0.009700474721720198,-0.00566118797920212,-0.010520445831258884
2023-05-16,0.010695111346650021,-0.010410687690899145,-0.0038685927986772395,0.021105799037549167
2023-05-17,-0.004832787434751351,0.0036719964871783084,0.016942319027495767,-0.00850478392192966
